objective_name,variable_name,coefficient
PENALTY,R0300001,200
PENALTY,R0200001,-40
PENALTY,R0100001,-21
PENALTY,R0300002,200
PENALTY,R0200002,-40
PENALTY,R0100002,-21
PENALTY,R0300003,200
PENALTY,R0200003,-40
PENALTY,R0100003,-21
PENALTY,R0300004,200
PENALTY,R0200004,-40
PENALTY,R0100004,-21
PENALTY,R0300005,200
PENALTY,R0200005,-40
PENALTY,R0100005,-21
PENALTY,R0300006,290
PENALTY,R0200006,-58
PENALTY,R0100006,-30.45
PENALTY,R0300007,200
PENALTY,R0200007,-40
PENALTY,R0100007,-21
PENALTY,R0300008,200
PENALTY,R0200008,-40
PENALTY,R0100008,-21
PENALTY,R0300009,200
PENALTY,R0200009,-40
PENALTY,R0100009,-21
PENALTY,R0300010,200
PENALTY,R0200010,-40
PENALTY,R0100010,-21
PENALTY,R0300011,200
PENALTY,R0200011,-40
PENALTY,R0100011,-21
PENALTY,R0300012,250
PENALTY,R0200012,-50
PENALTY,R0100012,-26.25
PENALTY,R0300013,200
PENALTY,R0200013,-40
PENALTY,R0100013,-21
PENALTY,R0300014,200
PENALTY,R0200014,-40
PENALTY,R0100014,-21
PENALTY,R0300015,200
PENALTY,R0200015,-40
PENALTY,R0100015,-21
PENALTY,R0300016,200
PENALTY,R0200016,-40
PENALTY,R0100016,-21
PENALTY,R0300017,200
PENALTY,R0200017,-40
PENALTY,R0100017,-21
PENALTY,R0300018,200
PENALTY,R0200018,-40
PENALTY,R0100018,-21
PENALTY,R0300019,200
PENALTY,R0200019,-40
PENALTY,R0100019,-21
PENALTY,R0300020,200
PENALTY,R0200020,-40
PENALTY,R0100020,-21
PENALTY,R0300021,200
PENALTY,R0200021,-40
PENALTY,R0100021,-21
PENALTY,R0300022,200
PENALTY,R0200022,-40
PENALTY,R0100022,-21
PENALTY,R0300023,200
PENALTY,R0200023,-40
PENALTY,R0100023,-21
PENALTY,R0300024,200
PENALTY,R0200024,-40
PENALTY,R0100024,-21
PENALTY,R0300025,200
PENALTY,R0200025,-40
PENALTY,R0100025,-21
PENALTY,R0300026,200
PENALTY,R0200026,-40
PENALTY,R0100026,-21
PENALTY,R0300027,200
PENALTY,R0200027,-40
PENALTY,R0100027,-21
PENALTY,R0300028,300
PENALTY,R0200028,-60
PENALTY,R0100028,-31.5
PENALTY,R0300029,200
PENALTY,R0200029,-40
PENALTY,R0100029,-21
PENALTY,R0300030,200
PENALTY,R0200030,-40
PENALTY,R0100030,-21
PENALTY,R0300031,300
PENALTY,R0200031,-60
PENALTY,R0100031,-31.5
PENALTY,R0300032,200
PENALTY,R0200032,-40
PENALTY,R0100032,-21
PENALTY,R0300033,200
PENALTY,R0200033,-40
PENALTY,R0100033,-21
PENALTY,R0300034,250
PENALTY,R0200034,-50
PENALTY,R0100034,-26.25
PENALTY,R0300035,200
PENALTY,R0200035,-40
PENALTY,R0100035,-21
PENALTY,R0300036,200
PENALTY,R0200036,-40
PENALTY,R0100036,-21
PENALTY,R0300037,310
PENALTY,R0200037,-62
PENALTY,R0100037,-32.55
PENALTY,R0300038,200
PENALTY,R0200038,-40
PENALTY,R0100038,-21
PENALTY,R0300039,200
PENALTY,R0200039,-40
