variable_name,type,lower_bound,upper_bound
R0401968,DoubleBound,0,8
R0301098,DoubleBound,0,1
R0200173,DoubleBound,0,1
R0101170,DoubleBound,0,0.5
R0402026,DoubleBound,0,8
R0102649,DoubleBound,0,1
R0402601,DoubleBound,0,8
R0402578,DoubleBound,0,8
R0202095,DoubleBound,0,1
R0101148,DoubleBound,0,0.5
R0101970,DoubleBound,0,1
R0302459,DoubleBound,0,1
R0100786,DoubleBound,0,0.5
R0102757,DoubleBound,0,1
R0202492,DoubleBound,0,1
R0200245,DoubleBound,0,1
R0200365,DoubleBound,0,1
R0401947,DoubleBound,0,8
R0402154,DoubleBound,0,8
R0100125,DoubleBound,0,0.5
R0100652,DoubleBound,0,0.5
R0102929,DoubleBound,0,1
R0401556,DoubleBound,0,8
R0201503,DoubleBound,0,1
R0202674,DoubleBound,0,1
R0302439,DoubleBound,0,1
R0202604,DoubleBound,0,1
R0102543,DoubleBound,0,1
R0200153,DoubleBound,0,1
R0300771,DoubleBound,0,1
R0202434,DoubleBound,0,1
R0100329,DoubleBound,0,0.5
R0300257,DoubleBound,0,1
R0402565,DoubleBound,0,8
R0402784,DoubleBound,0,8
R0100624,DoubleBound,0,0.5
R0100138,DoubleBound,0,0.5
R0100536,DoubleBound,0,0.5
R0402605,DoubleBound,0,8
R0200949,DoubleBound,0,1
R0402518,DoubleBound,0,8
R0200512,DoubleBound,0,1
R0200587,DoubleBound,0,1
R0200959,DoubleBound,0,1
R0302711,DoubleBound,0,1
R0201149,DoubleBound,0,1
R0202654,DoubleBound,0,1
R0402331,DoubleBound,0,8
R0300499,DoubleBound,0,1
R0202696,DoubleBound,0,1
R0200526,DoubleBound,0,1
R0100793,DoubleBound,0,0.5
R0401603,DoubleBound,0,8
R0202391,DoubleBound,0,1
R0102352,DoubleBound,0,1
R0100256,DoubleBound,0,0.5
R0200575,DoubleBound,0,1
R0201333,DoubleBound,0,1
R0201939,DoubleBound,0,1
R0302901,DoubleBound,0,1
R0102047,DoubleBound,0,1
R0201122,DoubleBound,0,1
R0102063,DoubleBound,0,1
R0202635,DoubleBound,0,1
R0200393,DoubleBound,0,1
R0100328,DoubleBound,0,0.5
R0201826,DoubleBound,0,1
R0102867,DoubleBound,0,1
R0101097,DoubleBound,0,0.5
R0301154,DoubleBound,0,1
R0101666,DoubleBound,0,1
R0301742,DoubleBound,0,1
R0100584,DoubleBound,0,0.5
R0301958,DoubleBound,0,1
R0102394,DoubleBound,0,1
R0300376,DoubleBound,0,1
R0200963,DoubleBound,0,1
R0201193,DoubleBound,0,1
R0402453,DoubleBound,0,8
R0402930,DoubleBound,0,8
R0302078,DoubleBound,0,1
R0202451,DoubleBound,0,1
R0100500,DoubleBound,0,0.5
R0201305,DoubleBound,0,1
R0302842,DoubleBound,0,1
R0301438,DoubleBound,0,1
R0402907,DoubleBound,0,8
R0101407,DoubleBound,0,0.5
R0300486,DoubleBound,0,1
R0402511,DoubleBound,0,8
R0102065,DoubleBound,0,1
R0402516,DoubleBound,0,8
R0100581,DoubleBound,0,0.5
R0300176,DoubleBound,0,1
R0201071,DoubleBound,0,1
R0202079,DoubleBound,0,1
R0302853,DoubleBound,0,1
R0101614,DoubleBound,0,1
R0102688,DoubleBound,0,1
R0402336,DoubleBound,0,8
R0100548,DoubleBound,0,0.5
R0102837,DoubleBound,0,1
R0300123,DoubleBound,0,1
R0202239,DoubleBound,0,1
R0100298,DoubleBound,0,0.5
R0401767,DoubleBound,0,8
R0202526,DoubleBound,0,1
R0402391,DoubleBound,0,8
R0302224,DoubleBound,0,1
R0200302,DoubleBound,0,1
R0101839,DoubleBound,0,1
R0101934,DoubleBound,0,1
R0200661,DoubleBound,0,1
R0201492,DoubleBound,0,1
R0100969,DoubleBound,0,0.5
R0300549,DoubleBound,0,1
R0300505,DoubleBound,0,1
R0101081,DoubleBound,0,0.5
R0100609,DoubleBound,0,0.5
R0100682,DoubleBound,0,0.5
R0100516,DoubleBound,0,0.5
R0300905,DoubleBound,0,1
R0401929,DoubleBound,0,8
R0200942,DoubleBound,0,1
R0102057,DoubleBound,0,1
R0201046,DoubleBound,0,1
R0102478,DoubleBound,0,1
R0402330,DoubleBound,0,8
R0201589,DoubleBound,0,1
R0300298,DoubleBound,0,1
R0100695,DoubleBound,0,0.5
R0202906,DoubleBound,0,1
R0102465,DoubleBound,0,1
R0100085,DoubleBound,0,0.5
R0202247,DoubleBound,0,1
R0301979,DoubleBound,0,1
R0202249,DoubleBound,0,1
R0302599,DoubleBound,0,1
R0202189,DoubleBound,0,1
R0300821,DoubleBound,0,1
R0302574,DoubleBound,0,1
R0302647,DoubleBound,0,1
R0200057,DoubleBound,0,1
R0301298,DoubleBound,0,1
R0101257,DoubleBound,0,0.5
R0402096,DoubleBound,0,8
R0202055,DoubleBound,0,1
R0100648,DoubleBound,0,0.5
R0301677,DoubleBound,0,1
R0301130,DoubleBound,0,1
R0301574,DoubleBound,0,1
R0302781,DoubleBound,0,1
R0100380,DoubleBound,0,0.5
R0202591,DoubleBound,0,1
R0101495,DoubleBound,0,0.5
R0202597,DoubleBound,0,1
R0302356,DoubleBound,0,1
R0402616,DoubleBound,0,8
R0302863,DoubleBound,0,1
R0302239,DoubleBound,0,1
R0101494,DoubleBound,0,0.5
R0402982,DoubleBound,0,8
R0300466,DoubleBound,0,1
R0202954,DoubleBound,0,1
R0202861,DoubleBound,0,1
R0102012,DoubleBound,0,1
R0200501,DoubleBound,0,1
R0200892,DoubleBound,0,1
R0201160,DoubleBound,0,1
R0401868,DoubleBound,0,8
R0402912,DoubleBound,0,8
R0402469,DoubleBound,0,8
R0102126,DoubleBound,0,1
R0402740,DoubleBound,0,8
R0101887,DoubleBound,0,1
R0201248,DoubleBound,0,1
R0402285,DoubleBound,0,8
R0101854,DoubleBound,0,1
R0301660,DoubleBound,0,1
R0201686,DoubleBound,0,1
R0200446,DoubleBound,0,1
R0402618,DoubleBound,0,8
R0202962,DoubleBound,0,1
R0200400,DoubleBound,0,1
R0101004,DoubleBound,0,0.5
R0202139,DoubleBound,0,1
R0401607,DoubleBound,0,8
R0302704,DoubleBound,0,1
R0402461,DoubleBound,0,8
R0300225,DoubleBound,0,1
R0201239,DoubleBound,0,1
R0402072,DoubleBound,0,8
R0101169,DoubleBound,0,0.5
R0100567,DoubleBound,0,0.5
R0302287,DoubleBound,0,1
R0302418,DoubleBound,0,1
R0101010,DoubleBound,0,0.5
R0402785,DoubleBound,0,8
R0100227,DoubleBound,0,0.5
R0102303,DoubleBound,0,1
R0301505,DoubleBound,0,1
R0200107,DoubleBound,0,1
R0301986,DoubleBound,0,1
R0101993,DoubleBound,0,1
R0200438,DoubleBound,0,1
R0300284,DoubleBound,0,1
R0202933,DoubleBound,0,1
R0401996,DoubleBound,0,8
R0301740,DoubleBound,0,1
R0200138,DoubleBound,0,1
R0202506,DoubleBound,0,1
R0300033,DoubleBound,0,1
R0202979,DoubleBound,0,1
R0101512,DoubleBound,0,1
R0302190,DoubleBound,0,1
R0101470,DoubleBound,0,0.5
R0102345,DoubleBound,0,1
R0402327,DoubleBound,0,8
R0102940,DoubleBound,0,1
R0201027,DoubleBound,0,1
R0302228,DoubleBound,0,1
R0300982,DoubleBound,0,1
R0101576,DoubleBound,0,1
R0402048,DoubleBound,0,8
R0402321,DoubleBound,0,8
R0100274,DoubleBound,0,0.5
R0200424,DoubleBound,0,1
R0102327,DoubleBound,0,1
R0100705,DoubleBound,0,0.5
R0301485,DoubleBound,0,1
R0102295,DoubleBound,0,1
R0401654,DoubleBound,0,8
R0201938,DoubleBound,0,1
R0402046,DoubleBound,0,8
R0202148,DoubleBound,0,1
R0401555,DoubleBound,0,8
R0300484,DoubleBound,0,1
R0200885,DoubleBound,0,1
R0201795,DoubleBound,0,1
R0300683,DoubleBound,0,1
R0301135,DoubleBound,0,1
R0100680,DoubleBound,0,0.5
R0401557,DoubleBound,0,8
R0202716,DoubleBound,0,1
R0301472,DoubleBound,0,1
R0301586,DoubleBound,0,1
R0300300,DoubleBound,0,1
R0301924,DoubleBound,0,1
R0101875,DoubleBound,0,1
R0301063,DoubleBound,0,1
R0200248,DoubleBound,0,1
R0202792,DoubleBound,0,1
R0300413,DoubleBound,0,1
R0100905,DoubleBound,0,0.5
R0101692,DoubleBound,0,1
R0301121,DoubleBound,0,1
R0301442,DoubleBound,0,1
R0301197,DoubleBound,0,1
R0102633,DoubleBound,0,1
R0301244,DoubleBound,0,1
R0401789,DoubleBound,0,8
R0202588,DoubleBound,0,1
R0300489,DoubleBound,0,1
R0200813,DoubleBound,0,1
R0201925,DoubleBound,0,1
R0300824,DoubleBound,0,1
R0402617,DoubleBound,0,8
R0202795,DoubleBound,0,1
R0102654,DoubleBound,0,1
R0201107,DoubleBound,0,1
R0201377,DoubleBound,0,1
R0402054,DoubleBound,0,8
R0302865,DoubleBound,0,1
R0302728,DoubleBound,0,1
R0102304,DoubleBound,0,1
R0402198,DoubleBound,0,8
R0102672,DoubleBound,0,1
R0102895,DoubleBound,0,1
R0202229,DoubleBound,0,1
R0102031,DoubleBound,0,1
R0402084,DoubleBound,0,8
R0202339,DoubleBound,0,1
R0202374,DoubleBound,0,1
R0102214,DoubleBound,0,1
R0100276,DoubleBound,0,0.5
R0402610,DoubleBound,0,8
R0302846,DoubleBound,0,1
R0102503,DoubleBound,0,1
R0302668,DoubleBound,0,1
R0200001,DoubleBound,0,1
R0202200,DoubleBound,0,1
R0101467,DoubleBound,0,0.5
R0301492,DoubleBound,0,1
R0200643,DoubleBound,0,1
R0401524,DoubleBound,0,8
R0402568,DoubleBound,0,8
R0100232,DoubleBound,0,0.5
R0201199,DoubleBound,0,1
R0302702,DoubleBound,0,1
R0200943,DoubleBound,0,1
R0202149,DoubleBound,0,1
R0100073,DoubleBound,0,0.5
R0301710,DoubleBound,0,1
R0102373,DoubleBound,0,1
R0301297,DoubleBound,0,1
R0102197,DoubleBound,0,1
R0200865,DoubleBound,0,1
R0102741,DoubleBound,0,1
R0402839,DoubleBound,0,8
R0100974,DoubleBound,0,0.5
R0200209,DoubleBound,0,1
R0402262,DoubleBound,0,8
R0201985,DoubleBound,0,1
R0201831,DoubleBound,0,1
R0402340,DoubleBound,0,8
R0200445,DoubleBound,0,1
R0100727,DoubleBound,0,0.5
R0200462,DoubleBound,0,1
R0200455,DoubleBound,0,1
